Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
162.158.86.171,167.235.145.223,209,2777639,101,8189,108,2769450,28.508157,30.318796,2160,730754
162.158.86.172,167.235.145.223,73,2508843,29,3570,44,2505273,16.635225,63.451264,450,315867
162.158.86.182,167.235.145.223,81,2376788,38,4164,43,2372624,2.061784,62.785926,530,302312
162.158.86.191,167.235.145.223,229,4308104,105,9228,124,4298876,60.203258,10.368105,7120,3317000
162.158.86.203,167.235.145.223,130,4103451,60,5453,70,4097998,0.153493,70.512076,618,464941
162.158.86.211,167.235.145.223,6,427,2,132,4,295,23.476725,29.968843,35,78
162.158.86.221,167.235.145.223,69,44045,46,22742,23,21303,2.711101,77.83594,2337,2189
162.158.86.222,167.235.145.223,42,26718,28,13748,14,12970,1.558477,78.048925,1409,1329
162.158.86.226,167.235.145.223,15,3899,8,1684,7,2215,6.822738,71.212,189,248
162.158.86.244,167.235.145.223,6,427,2,132,4,295,22.553545,29.969966,35,78
162.158.86.250,167.235.145.223,48,29380,32,14557,16,14823,1.528297,78.033351,1492,1519
162.158.87.4,167.235.145.223,6,427,2,132,4,295,2.519902,29.975642,35,78
162.158.87.17,167.235.145.223,6,427,2,132,4,295,28.64313,29.744691,35,79
162.158.87.19,167.235.145.223,154,2465971,90,27449,64,2438522,1.977356,80.766107,2718,241539
162.158.87.25,167.235.145.223,6,427,2,132,4,295,22.73127,29.784448,35,79
162.158.87.37,167.235.145.223,190,2303288,98,7991,92,2295297,76.563431,0.059344,1077244,309422620
162.158.87.60,167.235.145.223,166,2220343,77,6605,89,2213738,52.523526,30.19343,1750,586548
162.158.87.64,167.235.145.223,49,1330627,24,2460,25,1328167,1.559122,60.008368,327,177064
162.158.87.105,167.235.145.223,93,58741,62,30026,31,28715,0.010447,78.9379,3042,2910
162.158.87.110,167.235.145.223,7,493,3,198,4,295,16.703966,29.809571,53,79
162.158.87.119,167.235.145.223,116,4476370,41,4353,75,4472017,6.093349,70.453281,494,507799
162.158.87.134,167.235.145.223,261,4722885,123,10416,138,4712469,72.118156,10.716014,7776,3518076
162.158.87.145,167.235.145.223,6,427,2,132,4,295,17.509884,29.947587,35,78
162.158.87.148,167.235.145.223,119,1301173,59,5413,60,1295760,71.188556,0.05173,837115,200388169
162.158.87.156,167.235.145.223,6,427,2,132,4,295,10.842475,29.716189,35,79
162.158.87.157,167.235.145.223,169,2066874,79,6737,90,2060137,22.508812,60.030018,897,274547
162.158.87.160,167.235.145.223,160,2664182,74,7036,86,2657146,12.284421,61.776596,911,344097
162.158.87.171,167.235.145.223,87,55044,58,28172,29,26872,2.563048,79.914831,2820,2690
162.158.87.173,167.235.145.223,68,2401510,26,2496,42,2399014,4.76386,60.009875,332,319815
162.158.87.181,167.235.145.223,249,4719276,117,10029,132,4709247,16.769849,42.465291,1889,887171
162.158.87.183,167.235.145.223,183,2384187,89,7397,94,2376790,70.553414,0.05921,999425,321133592
162.158.87.185,167.235.145.223,256,4587151,125,10557,131,4576594,22.564482,42.44619,1989,862568
162.158.87.190,167.235.145.223,144,1766879,67,5945,77,1760934,34.512624,30.382994,1565,463663
162.158.87.198,167.235.145.223,301,7074583,129,11693,172,7062890,28.557372,42.115617,2221,1341619
162.158.87.202,167.235.145.223,309,7017870,140,12419,169,7005451,10.992862,47.550016,2089,1178624
162.158.87.209,167.235.145.223,243,4833397,108,9475,135,4823922,53.761473,10.86758,6974,3551055
162.158.87.212,167.235.145.223,170,2881948,81,7653,89,2874295,28.611111,33.530875,1825,685766
162.158.87.219,167.235.145.223,216,4066200,93,8436,123,4057764,42.09944,40.534587,1664,800849
162.158.87.232,167.235.145.223,192,2384781,96,7859,96,2376922,46.531314,30.420388,2066,625086
162.158.87.235,167.235.145.223,153,2320352,75,7257,78,2313095,34.624467,33.46466,1734,552964
162.158.94.7,167.235.145.223,6,427,2,132,4,295,2.517823,29.766197,35,79
162.158.94.10,167.235.145.223,119,1243945,58,5349,61,1238596,19.719036,60.024862,712,165077
162.158.94.12,167.235.145.223,124,1325637,60,5481,64,1320156,1.714384,60.025188,730,175946
162.158.94.20,167.235.145.223,6,427,2,132,4,295,29.455992,29.992942,35,78
162.158.94.28,167.235.145.223,342,4885297,200,69151,142,4816146,0.223741,79.991041,6915,481668
162.158.94.29,167.235.145.223,262,1822799,166,66528,96,1756271,0.700908,80.971805,6572,173519
162.158.94.30,167.235.145.223,6,427,2,132,4,295,3.73936,29.880702,35,78
162.158.94.39,167.235.145.223,166,2120921,79,6753,87,2114168,38.184553,30.052834,1797,562786
162.158.94.40,167.235.145.223,189,116579,126,58133,63,58446,0.36803,80.089408,5806,5838
162.158.94.41,167.235.145.223,375,230784,250,114832,125,115952,0.525795,80.859162,11361,11471
162.158.94.48,167.235.145.223,6,427,2,132,4,295,9.532097,29.975415,35,78
162.158.94.59,167.235.145.223,247,4755045,115,9646,132,4745399,44.27657,35.839432,2153,1059257
162.158.94.61,167.235.145.223,7,493,3,198,4,295,26.199851,29.545484,53,79
162.158.94.67,167.235.145.223,510,321620,340,164127,170,157493,0.298783,82.692399,15878,15236
162.158.94.79,167.235.145.223,44,1212744,22,2322,22,1210422,20.383214,59.903163,310,161650
162.158.94.81,167.235.145.223,162,2778843,75,7126,87,2771717,53.012062,0.745845,76434,29729683
162.158.94.82,167.235.145.223,112,1198275,55,5151,57,1193124,55.735739,0.050987,808206,187204424
162.158.94.84,167.235.145.223,174,106658,116,52930,58,53728,0.125238,81.382056,5203,5281
162.158.94.85,167.235.145.223,171,103463,114,50662,57,52801,1.395032,80.077027,5061,5275
162.158.94.86,167.235.145.223,132,1937860,52,4952,80,1932908,82.32163,0.067804,584272,228058285
162.158.94.94,167.235.145.223,202,6336681,101,9167,101,6327514,27.711946,37.888425,1935,1336031
162.158.94.108,167.235.145.223,6,427,2,132,4,295,14.317559,29.972208,35,78
162.158.94.118,167.235.145.223,429,262338,286,129781,143,132557,0.581123,81.359726,12761,13034
162.158.94.119,167.235.145.223,213,133181,142,67412,71,65769,0.770264,80.75032,6678,6515
162.158.94.140,167.235.145.223,186,2314861,96,7664,90,2307197,81.484113,0.058389,1050060,316113925
162.158.94.154,167.235.145.223,118,1367409,55,5151,63,1362258,43.718727,30.25167,1362,360246
162.158.94.156,167.235.145.223,349,3698527,210,81195,139,3617332,0.516784,82.208991,7901,352013
162.158.94.157,167.235.145.223,364,1393317,225,83947,139,1309370,0.424297,81.812499,8208,128036
162.158.94.164,167.235.145.223,110,1168036,52,4953,58,1163083,13.719188,60.025669,660,155011
162.158.94.181,167.235.145.223,6,427,2,132,4,295,2.109249,29.635188,35,79
162.158.94.193,167.235.145.223,312,196037,208,99921,104,96116,0.564632,82.285979,9714,9344
162.158.94.199,167.235.145.223,308,7243920,137,12360,171,7231560,52.989185,0.718476,137624,80521103
162.158.94.206,167.235.145.223,268,6517741,112,10394,156,6507347,76.256505,0.88234,94240,59000811
162.158.94.213,167.235.145.223,107,1357661,42,4293,65,1353368,7.73655,60.022792,572,180380
162.158.94.217,167.235.145.223,321,8003943,136,12138,185,7991805,71.084423,0.672293,144437,95099071
162.158.94.226,167.235.145.223,276,6093741,125,11551,151,6082190,40.981827,30.777491,3002,1580944
162.158.94.228,167.235.145.223,339,209547,226,104730,113,104817,0.559602,80.718523,10379,10388
162.158.94.229,167.235.145.223,342,211606,228,105928,114,105678,0.13589,81.241665,10430,10406
162.158.94.241,167.235.145.223,119,1506075,52,4953,67,1501122,25.75542,30.251448,1309,396971
162.158.94.247,167.235.145.223,111,1309679,51,4887,60,1304792,61.744227,0.047472,823559,219884057
162.158.94.251,167.235.145.223,44,1188546,20,2054,24,1186492,3.541027,60.008702,273,158175
162.158.95.5,167.235.145.223,159,2899193,71,6915,88,2892278,71.489007,0.255098,216857,90703274
162.158.95.13,167.235.145.223,537,331911,358,165958,179,165953,0.090597,80.47687,16497,16496
162.158.95.17,167.235.145.223,153,1767489,75,6489,78,1761000,31.191809,30.151489,1721,467240
162.158.95.22,167.235.145.223,322,7047251,150,13009,172,7034242,65.119661,0.603325,172497,93273005
162.158.95.27,167.235.145.223,6,427,2,132,4,295,15.756481,29.635069,35,79
162.158.95.29,167.235.145.223,189,116345,126,57911,63,58434,0.793385,79.832251,5803,5855
162.158.95.30,167.235.145.223,189,116764,126,58333,63,58431,1.123324,80.12764,5824,5833
162.158.95.33,167.235.145.223,199,2776995,91,7545,108,2769450,25.125186,30.05684,2008,737123
162.158.95.38,167.235.145.223,304,6873015,141,12576,163,6860439,22.787897,30.670864,3280,1789434
162.158.95.48,167.235.145.223,479,2314143,309,134982,170,2179161,0.450455,81.247672,13290,214569
162.158.95.49,167.235.145.223,139,2451934,63,6387,76,2445547,77.472922,0.238324,214397,82091505
162.158.95.56,167.235.145.223,155,2477146,77,7311,78,2469835,65.505729,0.216929,269618,91083626
162.158.95.63,167.235.145.223,488,2387121,304,120670,184,2266451,0.152734,81.979179,11775,221173
162.158.95.64,167.235.145.223,180,114373,120,58952,60,55421,1.077704,81.059932,5818,5469
162.158.95.76,167.235.145.223,6,427,2,132,4,295,14.194197,29.553338,35,79
162.158.95.85,167.235.145.223,322,7416268,143,12345,179,7403923,10.354887,60.521678,1631,978680
162.158.95.93,167.235.145.223,93,58726,62,30008,31,28718,1.421729,78.250073,3067,2936
162.158.95.94,167.235.145.223,93,59069,62,30347,31,28722,0.03105,79.543113,3052,2888
162.158.95.98,167.235.145.223,119,1304191,59,5415,60,1298776,67.725557,0.047471,912557,218874849
162.158.95.107,167.235.145.223,6,427,2,132,4,295,7.914277,29.821142,35,79
162.158.95.110,167.235.145.223,222,4774558,109,11073,113,4763485,23.351905,41.767259,2120,912386
162.158.95.115,167.235.145.223,583,360799,389,181019,194,179780,0.002262,83.022809,17442,17323
162.158.95.118,167.235.145.223,182,2131023,92,7602,90,2123421,14.270432,60.026318,1013,282998
162.158.95.126,167.235.145.223,84,2871006,36,3901,48,2867105,1.865201,58.177163,536,394258
162.158.95.130,167.235.145.223,158,2220815,68,6039,90,2214776,48.779577,30.419264,1588,582466
162.158.95.134,167.235.145.223,166,2325812,71,6225,95,2319587,62.185789,0.073624,676409,252046832
162.158.95.135,167.235.145.223,174,2520593,89,8128,85,2512465,17.003566,60.735978,1070,330935
162.158.95.140,167.235.145.223,172,2665076,86,7930,86,2657146,11.006615,60.711874,1044,350131
162.158.95.143,167.235.145.223,171,2725176,86,7852,85,2717324,46.99198,30.79659,2039,705876
162.158.95.156,167.235.145.223,348,7939350,154,13797,194,7925553,47.006615,30.708633,3594,2064710
162.158.95.168,167.235.145.223,110,1282512,52,4953,58,1277559,73.744979,0.050769,780476,201313242
162.158.95.169,167.235.145.223,372,233799,248,118854,124,114945,0.717916,81.514635,11664,11280
162.158.95.170,167.235.145.223,368,232235,245,118296,123,113939,0.772328,80.988518,11685,11254
162.158.95.171,167.235.145.223,6,427,2,132,4,295,20.311206,29.975207,35,78
162.158.95.176,167.235.145.223,192,3323425,86,8085,106,3315340,55.234008,27.622269,2341,960193
162.158.95.178,167.235.145.223,6,427,2,132,4,295,23.475071,29.97034,35,78
162.158.95.180,167.235.145.223,6,427,2,132,4,295,20.006587,29.742791,35,79
162.158.95.184,167.235.145.223,375,9317279,167,15865,208,9301414,4.89676,71.406984,1777,1042073
162.158.95.190,167.235.145.223,98,995437,46,4557,52,990880,31.715484,30.174015,1208,262710
162.158.95.191,167.235.145.223,195,119022,130,58967,65,60055,0.840498,81.472876,5790,5896
162.158.95.192,167.235.145.223,192,116777,128,57440,64,59337,1.052579,81.057009,5669,5856
162.158.95.195,167.235.145.223,347,7074480,167,14011,180,7060469,15.916748,60.411712,1855,934980
162.158.95.199,167.235.145.223,283,4757783,145,11988,138,4745795,68.223377,0.084961,1128800,446868092
162.158.95.205,167.235.145.223,6,427,2,132,4,295,20.584408,29.992393,35,78
162.158.95.211,167.235.145.223,311,6457634,144,12818,167,6444816,58.883158,0.865638,118460,59561303
162.158.95.218,167.235.145.223,92,2599285,41,3833,51,2595452,8.243637,60.008829,510,346009
162.158.95.220,167.235.145.223,6,427,2,132,4,295,8.390439,29.618196,35,79
162.158.95.223,167.235.145.223,6,427,2,132,4,295,14.056548,29.969911,35,78
162.158.95.226,167.235.145.223,179,2302569,87,7272,92,2295297,74.289346,0.055398,1050146,331462796
162.158.102.48,167.235.145.223,271,2187898,114,8864,157,2179034,79.40369,0.314201,225689,55481274
162.158.102.52,167.235.145.223,294,2071933,136,10316,158,2061617,1.353254,60.122019,1372,274324
162.158.102.73,167.235.145.223,306,2497576,143,10778,163,2486798,31.391695,30.325901,2843,656019
162.158.102.119,167.235.145.223,339,2490761,166,12296,173,2478465,13.355879,60.124277,1636,329778
162.158.102.124,167.235.145.223,324,2308940,155,11570,169,2297370,25.356166,30.327695,3051,606012
162.158.102.171,167.235.145.223,323,2134092,151,11306,172,2122786,37.360593,30.373635,2977,559112
162.158.102.187,167.235.145.223,6,427,2,132,4,295,1.712905,29.801271,35,79
162.158.102.230,167.235.145.223,317,2453095,155,11570,162,2441525,67.398745,0.314756,294069,62055052
162.158.103.5,167.235.145.223,303,2373878,141,10646,162,2363232,19.400505,60.118759,1416,314475
162.158.103.7,167.235.145.223,6,427,2,132,4,295,13.709729,29.800166,35,79
162.158.103.16,167.235.145.223,42,24197,28,11228,14,12969,1.257048,78.081376,1150,1328
162.158.103.88,167.235.145.223,302,2168860,147,11042,155,2157818,61.360115,0.306955,287781,56238028
162.158.103.125,167.235.145.223,316,2260229,153,11438,163,2248791,7.389151,60.120601,1522,299237
162.158.103.128,167.235.145.223,290,2047544,129,9854,161,2037690,43.396905,30.406538,2592,536118
162.158.103.196,167.235.145.223,359,2612573,174,12824,185,2599749,49.353504,30.464061,3367,682705
162.158.110.5,167.235.145.223,480,302810,320,154426,160,148384,0.017181,82.641425,14949,14364
162.158.110.7,167.235.145.223,237,4832979,100,8896,137,4824083,7.043326,64.365,1105,599590
162.158.110.29,167.235.145.223,6,427,2,132,4,295,6.661198,29.936194,35,78
162.158.110.32,167.235.145.223,165,2664612,78,7395,87,2657217,10.703268,61.887308,955,343491
162.158.110.34,167.235.145.223,147,2476594,68,6784,79,2469810,23.741126,30.890756,1756,639624
162.158.110.50,167.235.145.223,41,1188336,17,1844,24,1186492,0.585967,60.00789,245,158178
162.158.110.52,167.235.145.223,6,427,2,132,4,295,11.363402,29.905959,35,78
162.158.110.55,167.235.145.223,305,7306616,131,11603,174,7295013,65.101871,1.037499,89469,56250756
162.158.110.58,167.235.145.223,231,4247990,106,9294,125,4238696,13.738206,63.628318,1168,532932
162.158.110.60,167.235.145.223,304,7243254,132,11628,172,7231626,53.059603,1.050036,88591,55096213
162.158.110.68,167.235.145.223,187,2384467,92,7611,95,2376856,67.128101,0.096207,632885,197645160
162.158.110.80,167.235.145.223,153,93980,102,46738,51,47242,0.168088,80.119261,4666,4717
162.158.110.81,167.235.145.223,150,91971,100,45653,50,46318,0.207254,79.593202,4588,4655
162.158.110.84,167.235.145.223,318,6873436,152,12798,166,6860638,22.919341,30.775017,3326,1783430
162.158.110.99,167.235.145.223,847,7486455,529,202483,318,7283972,1.029889,82.027239,19747,710395
162.158.110.100,167.235.145.223,159,2249681,66,5510,93,2244171,5.46924,60.028234,734,299082
162.158.110.101,167.235.145.223,224,4489963,93,8364,131,4481599,4.919268,60.547065,1105,592147
162.158.110.111,167.235.145.223,14,986,6,396,8,590,23.315779,30.027081,105,157
162.158.110.114,167.235.145.223,157,2609837,77,7378,80,2602459,63.28843,4.452758,13255,4675680
162.158.110.123,167.235.145.223,134,1981551,67,6718,67,1974833,33.181892,37.169586,1445,425042
162.158.110.125,167.235.145.223,152,2470889,71,6932,81,2463957,5.240429,61.310939,904,321503
162.158.110.128,167.235.145.223,258,4641506,125,10546,133,4630960,0.538849,64.863621,1300,571162
162.158.110.129,167.235.145.223,246,4616619,117,10077,129,4606542,80.455668,2.383594,33821,15460827
162.158.110.137,167.235.145.223,6,427,2,132,4,295,11.44871,29.953806,35,78
162.158.110.152,167.235.145.223,510,311322,340,153824,170,157498,0.166484,81.210744,15153,15514
162.158.110.155,167.235.145.223,110,1140807,56,5149,54,1135658,82.542991,0.051956,792824,174864577
162.158.110.159,167.235.145.223,143,2434159,68,6784,75,2427375,51.203892,7.017915,7733,2767061
162.158.110.169,167.235.145.223,704,432693,470,215851,234,216842,0.909918,82.16672,21015,21112
162.158.110.179,167.235.145.223,238,4592014,109,9534,129,4582480,73.132943,9.051453,8426,4050160
162.158.110.187,167.235.145.223,474,300002,316,153638,158,146364,1.246469,81.806119,15024,14313
162.158.110.194,167.235.145.223,235,4350451,113,9537,122,4340914,76.332947,2.244458,33993,15472471
162.158.110.195,167.235.145.223,166,2180978,79,6563,87,2174415,76.356573,0.057404,914640,303033238
162.158.110.196,167.235.145.223,294,6456114,141,12222,153,6443892,59.055979,1.106985,88326,46568956
162.158.110.204,167.235.145.223,145,2325860,68,6784,77,2319076,19.291586,61.757929,878,300408
162.158.110.207,167.235.145.223,313,7072151,140,12144,173,7060007,16.731349,60.735271,1599,929938
162.158.110.214,167.235.145.223,209,3866590,99,8561,110,3858029,82.403921,0.641572,106750,48107199
162.158.110.225,167.235.145.223,276,5877400,142,14313,134,5863087,7.634358,52.796177,2168,888410
162.158.110.227,167.235.145.223,156,2555600,73,7114,83,2548486,0.586859,65.019201,875,313567
162.158.110.229,167.235.145.223,6,427,2,132,4,295,29.559062,29.953755,35,78
162.158.110.233,167.235.145.223,187,3521914,85,7963,102,3513951,31.086192,34.316701,1856,819181
162.158.110.236,167.235.145.223,489,304336,326,153352,163,150984,0.154584,80.024304,15330,15093
162.158.110.246,167.235.145.223,216,4623495,105,10833,111,4612662,23.206456,38.599753,2245,955998
162.158.110.249,167.235.145.223,171,2725309,86,7984,85,2717325,47.606802,32.253202,1980,673998
162.158.110.252,167.235.145.223,393,244755,262,123638,131,121117,0.522568,82.42956,11999,11754
162.158.110.253,167.235.145.223,393,244872,262,123508,131,121364,0.209248,82.1707,12024,11815
162.158.111.2,167.235.145.223,276,4983288,130,11077,146,4972211,43.124247,34.379463,2577,1157018
162.158.111.3,167.235.145.223,168,2707024,81,7642,87,2699382,13.049212,64.89917,942,332747
162.158.111.17,167.235.145.223,243,152280,162,77100,81,75180,0.171386,81.916517,7529,7342
162.158.111.18,167.235.145.223,243,152913,162,77805,81,75108,0.005338,81.608062,7627,7362
162.158.111.25,167.235.145.223,164,6333788,63,6273,101,6327515,24.837018,40.960094,1225,1235839
162.158.111.30,167.235.145.223,6,427,2,132,4,295,29.473567,29.992801,35,78
162.158.111.33,167.235.145.223,186,119553,124,61966,62,57587,1.399205,80.036002,6193,5756
162.158.111.34,167.235.145.223,183,117409,122,60891,61,56518,1.4155,79.191897,6151,5709
162.158.111.44,167.235.145.223,38,1248417,13,1611,25,1246806,4.275121,60.008451,214,166217
162.158.111.45,167.235.145.223,125,1455251,62,5616,63,1449635,71.687691,0.053914,833327,215103312
162.158.111.46,167.235.145.223,125,1455180,61,5479,64,1449701,71.639618,0.051333,853875,225928895
162.158.111.49,167.235.145.223,315,7377485,141,12011,174,7365474,28.923847,30.894078,3110,1907284
162.158.111.67,167.235.145.223,232,4151650,114,9877,118,4141773,55.132455,4.509678,17521,7347350
162.158.111.76,167.235.145.223,333,7778542,150,12816,183,7765726,47.038712,31.119361,3294,1996371
162.158.111.77,167.235.145.223,152,2555353,72,7096,80,2548257,74.364174,3.923615,14468,5195733
162.158.111.87,167.235.145.223,236,5076877,117,11675,119,5065202,65.631664,16.873407,5535,2401507
162.158.111.94,167.235.145.223,322,7416066,143,12143,179,7403923,10.922039,60.615339,1602,977168
162.158.111.96,167.235.145.223,158,2519474,76,7208,82,2512266,16.715317,61.868224,932,324853
162.158.111.102,167.235.145.223,225,4428446,102,9085,123,4419361,49.100947,4.395935,16533,8042632
162.158.111.103,167.235.145.223,126,79274,84,40286,42,38988,1.049185,81.867381,3936,3809
162.158.111.104,167.235.145.223,129,81134,86,41212,43,39922,0.35747,82.695656,3986,3862
162.158.111.105,167.235.145.223,38,1284835,14,1912,24,1282923,9.627201,60.008722,254,171031
162.158.111.108,167.235.145.223,138,2319301,60,6206,78,2313095,35.307251,31.298148,1586,591241
162.158.111.113,167.235.145.223,286,6094078,135,11887,151,6082191,41.042246,30.861787,3081,1576627
162.158.111.123,167.235.145.223,459,285905,306,144108,153,141797,0.485265,79.327123,14533,14299
162.158.111.129,167.235.145.223,148,2386303,72,7048,76,2379255,57.247418,6.805535,8285,2796846
162.158.111.130,167.235.145.223,8,559,4,264,4,295,17.397726,29.865568,70,79
162.158.111.140,167.235.145.223,6,427,2,132,4,295,5.411333,29.931064,35,78
162.158.111.143,167.235.145.223,170,2725231,86,7972,84,2717259,45.167622,8.027893,7944,2707817
162.158.111.147,167.235.145.223,49,1312426,24,2337,25,1310089,2.117888,60.007846,311,174655
162.158.111.158,167.235.145.223,474,295154,316,148710,158,146444,0.368277,82.096939,14491,14270
162.158.111.167,167.235.145.223,420,1458165,274,121157,146,1337008,0.562342,81.601959,11877,131076
162.158.111.168,167.235.145.223,422,1460809,275,122871,147,1337938,0.227092,82.631657,11895,129532
162.158.111.175,167.235.145.223,6,427,2,132,4,295,17.365296,29.971105,35,78
162.158.111.181,167.235.145.223,822,518858,548,264955,274,253903,0.068454,81.681677,25950,24867
162.158.111.188,167.235.145.223,232,4230033,108,9481,124,4220552,37.104681,34.32235,2209,983744
162.158.111.193,167.235.145.223,251,4641070,122,10405,129,4630665,61.117969,4.316884,19282,8581495
162.158.111.202,167.235.145.223,148,2597211,67,6718,81,2590493,69.330177,4.748925,11317,4363923
162.158.111.218,167.235.145.223,88,2527839,46,4681,42,2523158,11.482036,65.088051,575,310122
162.158.111.219,167.235.145.223,12,854,4,264,8,590,4.971606,30.194536,69,156
162.158.111.226,167.235.145.223,286,5411068,134,11197,152,5399871,25.102701,34.762759,2576,1242679
162.158.111.237,167.235.145.223,345,211747,230,105207,115,106540,0.497305,81.779747,10291,10422
162.158.111.238,167.235.145.223,348,215766,232,108223,116,107543,0.360771,82.427551,10503,10437
162.158.129.2,167.235.145.223,975,600907,650,299563,325,301344,0.384755,82.171057,29164,29338
162.158.129.3,167.235.145.223,486,300612,324,150530,162,150082,0.64529,80.916155,14882,14838
162.158.129.8,167.235.145.223,192,1173394,87,7209,105,1166185,16.736717,60.095407,959,155244
162.158.129.13,167.235.145.223,462,9660267,199,17373,263,9642894,52.162663,3.680358,37763,20960773
162.158.129.14,167.235.145.223,259,4166980,115,10755,144,4156225,53.297131,4.901477,17553,6783628
162.158.129.29,167.235.145.223,486,10372939,213,18218,273,10354721,47.096935,32.780754,4446,2527024
162.158.129.45,167.235.145.223,615,8626890,282,23530,333,8603360,57.853477,3.971105,47402,17331921
162.158.129.54,167.235.145.223,349,6640698,153,13139,196,6627559,49.294956,4.430926,23722,11966002
162.158.129.59,167.235.145.223,191,1227528,86,7143,105,1220385,52.777623,0.230852,247535,42291511
162.158.129.60,167.235.145.223,173,1256478,68,5955,105,1250523,82.822754,0.225808,210975,44303939
162.158.129.75,167.235.145.223,49,1234137,25,2466,24,1231671,7.873445,74.922419,263,131514
162.158.129.76,167.235.145.223,82,1191118,41,3504,41,1187614,0.060667,60.024034,467,158285
162.158.129.82,167.235.145.223,269,2320513,122,9523,147,2310990,24.24368,56.575249,1346,326784
162.158.129.84,167.235.145.223,1432,3486513,943,423138,489,3063375,0.008546,83.088397,40740,294950
162.158.129.85,167.235.145.223,540,336154,360,169470,180,166684,0.09285,82.743653,16385,16115
162.158.129.99,167.235.145.223,461,9431188,214,18275,247,9412913,15.80781,63.989197,2284,1176812
162.158.129.100,167.235.145.223,444,9164681,198,17032,246,9147649,22.820122,33.034722,4124,2215281
162.158.129.103,167.235.145.223,652,19525978,257,24276,395,19501702,4.730785,57.420718,3382,2717026
162.158.129.104,167.235.145.223,2049,1265679,1366,632527,683,633152,0.120634,82.762487,61141,61201
162.158.129.111,167.235.145.223,6,427,2,132,4,295,28.195821,29.938576,35,78
162.158.129.112,167.235.145.223,6,427,2,132,4,295,17.779357,29.914288,35,78
162.158.129.116,167.235.145.223,375,6958823,169,14211,206,6944612,0.827198,64.868953,1752,856448
162.158.129.121,167.235.145.223,6,427,2,132,4,295,6.102343,29.959156,35,78
162.158.129.122,167.235.145.223,444,8465676,209,17885,235,8447791,34.086033,33.728983,4242,2003687
162.158.129.126,167.235.145.223,420,7185907,195,15911,225,7169996,7.305391,64.411299,1976,890526
162.158.129.128,167.235.145.223,517,7145087,230,18872,287,7126215,67.352297,4.581819,32951,12442595
162.158.129.131,167.235.145.223,7,493,3,198,4,295,23.183393,29.660268,53,79
162.158.129.133,167.235.145.223,6,427,2,132,4,295,29.763115,29.937856,35,78
162.158.129.146,167.235.145.223,46,1348446,20,2136,26,1346310,10.743833,60.024098,284,179435
162.158.129.153,167.235.145.223,284,4546699,136,12957,148,4533742,59.246806,11.603529,8933,3125767
162.158.129.164,167.235.145.223,293,4322892,141,12471,152,4310421,29.265202,41.29956,2415,834957
162.158.129.166,167.235.145.223,591,363016,394,180439,197,182577,0.748765,82.226013,17555,17763
162.158.129.167,167.235.145.223,903,553970,602,275130,301,278840,0.224435,82.597246,26647,27007
162.158.129.169,167.235.145.223,429,11474819,166,16537,263,11458282,4.787333,73.290321,1805,1250727
162.158.129.170,167.235.145.223,232,3884931,103,9963,129,3874968,65.294834,5.438812,14654,5699727
162.158.129.174,167.235.145.223,1275,6921752,745,294068,530,6627684,0.787934,82.077522,28662,645992
162.158.129.175,167.235.145.223,909,567524,606,286588,303,280936,0.423137,82.435431,27812,27263
162.158.129.179,167.235.145.223,381,6380247,166,14153,215,6366094,19.308083,34.689944,3263,1468112
162.158.129.183,167.235.145.223,387,3651078,157,13527,230,3637551,41.490209,35.529689,3045,819044
162.158.129.184,167.235.145.223,173,1202247,77,6549,96,1195698,58.795136,0.165233,317079,57891486
162.158.129.188,167.235.145.223,1251,4389268,762,278805,489,4110463,0.295063,82.361448,27081,399260
162.158.129.189,167.235.145.223,1266,781984,844,390612,422,391372,0.079157,82.963452,37665,37739
162.158.129.216,167.235.145.223,6,427,2,132,4,295,28.887725,29.921426,35,78
162.158.129.220,167.235.145.223,6,427,2,132,4,295,6.137964,29.534806,35,79
162.158.129.229,167.235.145.223,603,6241574,234,18485,369,6223089,55.310041,4.483247,32985,11104610
162.158.129.231,167.235.145.223,194,4107869,49,4922,145,4102947,0.096631,61.706666,638,531929
162.158.129.241,167.235.145.223,2261,1397555,1507,699027,754,698528,0.062239,83.040375,67343,67295
162.158.129.253,167.235.145.223,554,7142393,249,19475,305,7122918,43.342287,34.466101,4520,1653315
162.158.130.6,167.235.145.223,282,3743515,118,10881,164,3732634,23.286176,53.5363,1625,557772
162.158.130.10,167.235.145.223,391,4094301,143,12603,248,4081698,47.26544,34.208668,2947,954541
162.158.130.11,167.235.145.223,259,2279231,113,9892,146,2269339,82.653957,0.379606,208468,47825145
162.158.130.13,167.235.145.223,201,1315565,93,7605,108,1307960,64.813649,0.201736,301582,51868184
162.158.130.17,167.235.145.223,844,9919504,375,29393,469,9890111,10.785245,63.029088,3730,1255307
162.158.130.28,167.235.145.223,189,5830997,91,9336,98,5821661,1.860062,71.65193,1042,649993
162.158.130.30,167.235.145.223,540,8701025,196,17083,344,8683942,76.170437,3.71777,36759,18686345
162.158.130.33,167.235.145.223,385,8795345,166,14972,219,8780373,5.037448,66.737396,1794,1052528
162.158.130.36,167.235.145.223,249,1376001,118,9255,131,1366746,46.78876,30.287882,2444,361001
162.158.130.46,167.235.145.223,524,12224949,203,18678,321,12206271,30.934285,34.892394,4282,2798609
